Route;Title;Layout;Components;Last Modified;File Path
/;Professionelle Immobilienfotografie Hamburg & Berlin;Web (Header + Footer);HTMLDivElement, Menu, Link, X;2025-10-21;client/src/pages/home.tsx
/about;Über PIX.IMMO;Web (Header + Footer);Link, ArrowLeft, Camera, Plane, Video, Box, Wand2;2025-10-21;client/src/pages/about.tsx
/admin/editorial;Redaktionsplan;Form Layout;EditorialItem, EditorialFormData, Dialog, DialogTrigger, Button, Plus, DialogContent, DialogHeader, DialogTitle, DialogDescription;2025-10-24;client/src/pages/admin-editorial.tsx
/admin/seo;SEO Management;Web (Header + Footer);EditingMetadata, Skeleton, Link, Button, ArrowLeft, Plus, Card, CardHeader, CardTitle, CardDescription;2025-10-21;client/src/pages/admin-seo.tsx
/agb;Allgemeine Liefer- und Geschäftsbedingungen;Web (Header + Footer);Link, ArrowLeft;2025-10-20;client/src/pages/agb.tsx
/ai-lab;AI Lab;Simple;Shoot, AITool, Image, AIJob, Badge, CheckCircle2, XCircle, Loader2, Card, CardHeader;2025-10-21;client/src/pages/ai-lab.tsx
/app/camera;Untitled;Mobile PWA;RoomType, Orientation, MotionReading, Recommendation, HTMLVideoElement, MediaStream, HTMLCanvasElement, StatusBar, HapticButton, ChevronRight;2025-10-28;client/src/pages/app/camera.tsx
/app/settings;Manueller Modus;Mobile PWA;StatusBar, Camera, SettingRow, HapticButton, RotateCcw, Info, ToggleRow, ChevronRight, BottomNav;2025-10-26;client/src/pages/app/settings.tsx
/app/splash;{t('app_name')};Mobile PWA;AppUser, StatusBar, Globe, Camera, AnimatePresence, Check, HapticButton, Plus, ImageIcon, UploadIcon;2025-10-28;client/src/pages/app/splash.tsx
/app/upload;Upload;Mobile PWA;PhotoStack, Job, StatusBar, AlertCircle, HapticButton, Loader2, MapPin, Check, CheckCircle, XCircle;2025-10-28;client/src/pages/app/upload.tsx
/blog;Blog;Web (Header + Footer);Link, Menu, X;2025-10-19;client/src/pages/blog.tsx
/blog/:slug;Blog-Beitrag nicht gefunden;Web (Header + Footer);Link, ArrowLeft;2025-10-19;client/src/pages/blog-post.tsx
/booking-confirmation;Untitled;Web (Header + Footer);Link, Button, Home, Card, CardHeader, CheckCircle, CardTitle, CardDescription, CardContent, SunPositionIndicator;2025-10-24;client/src/pages/booking-confirmation.tsx
/buchen;Neue Bestellung;Web (Header + Footer);Record, ServiceCatalog, BookingFormData, AlertCircle, Button, ArrowLeft, Badge, Card, CardHeader, CardTitle;2025-10-21;client/src/pages/booking.tsx
/capture/camera;Kamera-Fehler;Simple;HTMLVideoElement, MediaStream, Camera, Button, X, Zap, RefreshCw;2025-10-23;client/src/pages/capture/camera.tsx
/capture/index;pix.immo Camera;Simple;Camera, Upload, Info, Button;2025-10-23;client/src/pages/capture/index.tsx
/capture/upload;Upload;Simple;UploadStatus, Label, Input, Progress, Loader2, CheckCircle, XCircle, Button, Home;2025-10-23;client/src/pages/capture/upload.tsx
/dashboard;Willkommen zurück, {user.email};Web (Header + Footer);Skeleton, Link, Button, FileText, Briefcase, ListOrdered, CalendarCheck, ImageIcon, Camera, ImagePlus;2025-10-25;client/src/pages/dashboard.tsx
/datenschutz;Datenschutzerklärung;Web (Header + Footer);Link, ArrowLeft;2025-10-21;client/src/pages/datenschutz.tsx
/demo-jobs;Demo Jobs;Simple;Briefcase, Link, Button, Plus, Card, CardContent, Skeleton, CardHeader, CardTitle, CardDescription;2025-10-21;client/src/pages/demo-jobs.tsx
/demo-upload;Job erstellt;Form Layout;JobFormValues, Card, CardHeader, Upload, CardTitle, CardDescription, CardContent, Form, FormField, FormItem;2025-10-21;client/src/pages/demo-upload.tsx
/docs/rooms-spec;Raumtypen-Spezifikation;Form Layout;RoomTypeData, Badge, Button, FileText, FileJson, Card, CardHeader, CardDescription, CardTitle, Tag;2025-10-23;client/src/pages/docs-rooms-spec.tsx
/downloads;Downloads;Web (Header + Footer);Set, GalleryData, Skeleton, Button, Download, Home, Card, CardContent, Package, CardHeader;2025-10-21;client/src/pages/downloads.tsx
/faq;Häufig gestellte Fragen;Web (Header + Footer);Link, ArrowLeft, Accordion, AccordionItem, AccordionTrigger, AccordionContent;2025-10-21;client/src/pages/faq.tsx
/galerie;Ihre Galerie;Web (Header + Footer);EditedImage, GalleryData, Skeleton, Link, Button, Home, Heart, Package, Card, CardContent;2025-10-21;client/src/pages/galerie.tsx
/gallery;{t('gallery.title')};Mobile PWA;PhotoStack, StatusBar, HapticButton, ImageIcon, Layers, Check, AnimatePresence, Trash2, X, AlertDialog;2025-10-28;client/src/pages/app/gallery.tsx
/gallery;Untitled;Web (Header + Footer);HTMLDivElement, HTMLElement, Link, Menu, Button, X;2025-10-19;client/src/pages/gallery.tsx
/gallery/classify/:shootId;Bilder klassifizieren;Simple;Set, RoomTypeData, Shoot, Image, Loader2, Progress, Badge, Button, XSquare, Keyboard;2025-10-23;client/src/pages/gallery-classify.tsx
/impressum;Impressum und Datenschutz;Web (Header + Footer);Link, ArrowLeft;2025-10-21;client/src/pages/imprint.tsx
/intake;Photographer Intake;Form Layout;InitUploadResponse, FileWithPreview, Stack, ImageType, HTMLInputElement, Card, Label, Input, Button, Badge;2025-10-20;client/src/pages/intake.tsx
/job/:id;Verarbeitung gestartet;Simple;Skeleton, Alert, AlertCircle, AlertDescription, Link, Button, Card, CardHeader, Briefcase, CardTitle;2025-10-21;client/src/pages/demo-job-detail.tsx
/jobs;Workflow Jobs;Form Layout;Shoot, Badge, Card, MapPin, Calendar, Link, Button, Image, Job, Dialog;2025-10-20;client/src/pages/jobs.tsx
/kontakt;Kontakt;Web (Header + Footer);Link, ArrowLeft, Mail, Phone;2025-10-21;client/src/pages/contact.tsx
/kontakt-formular;Vielen Dank für Ihre Nachricht!;Web (Header + Footer);CheckCircle2, Link, Button, ArrowLeft, Input, Textarea, Checkbox, Send;2025-10-20;client/src/pages/kontakt-formular.tsx
/login;Anmeldung erfolgreich;Form Layout;LoginData, Link, Card, CardHeader, CardTitle, CardDescription, CardContent, Form, FormField, FormItem;2025-10-19;client/src/pages/login.tsx
/not-found;404 Seite nicht gefunden;Simple;Card, CardContent, AlertCircle;2025-10-19;client/src/pages/not-found.tsx
/order;Neuer Fotoauftrag;Web (Header + Footer);OrderData, Camera, Link, Button, ArrowLeft, Card, CardHeader, CardTitle, CardDescription, CardContent;2025-10-21;client/src/pages/order-form.tsx
/portal/delivery/:jobId;Download;Web (Header + Footer);DeliveryPackage, WebHeader, Button, ArrowLeft, Card, CardContent, Skeleton, CardHeader, CheckCircle, CardTitle;2025-10-24;client/src/pages/portal/delivery.tsx
/portal/gallery-editing;Editing Gallery;Simple;GalleryFile, Alert, AlertCircle, AlertDescription, Button, Loader2, Skeleton, Badge, Card, Select;2025-10-25;client/src/pages/portal/gallery-editing.tsx
/portal/gallery-photographer;Photographer Upload;Form Layout;GalleryFile, Alert, AlertCircle, AlertDescription, Button, Loader2, Skeleton, Badge, Card, Camera;2025-10-25;client/src/pages/portal/gallery-photographer.tsx
/portal/gallery-upload;Customer Upload Gallery;Simple;GalleryFile, Alert, AlertCircle, AlertDescription, Button, Loader2, Skeleton, Badge, Card, Upload;2025-10-25;client/src/pages/portal/gallery-upload.tsx
/portal/job/:jobId;Bildauswahl;Web (Header + Footer);Set, Image, WebHeader, Button, ArrowLeft, Check, Skeleton, Card, CardContent;2025-10-24;client/src/pages/portal/gallery-selection.tsx
/portal/payment/:jobId;Zahlung;Web (Header + Footer);Job, WebHeader, Button, ArrowLeft, Card, CardHeader, Skeleton, CardContent, CardTitle, CardDescription;2025-10-24;client/src/pages/portal/payment.tsx
/portal/status/:jobId;Status;Web (Header + Footer);Job, WebHeader, Button, ArrowLeft, Badge, Card, CardHeader, Skeleton, CardContent, CardTitle;2025-10-24;client/src/pages/portal/status-timeline.tsx
/portal/uploads;Uploads;Web (Header + Footer);Job, WebHeader, Card, CardHeader, Skeleton, CardContent, Button, Upload, CardTitle, CardDescription;2025-10-24;client/src/pages/portal/uploads-overview.tsx
/preise;Preise und Leistungen;Web (Header + Footer);Link, ArrowLeft;2025-10-21;client/src/pages/pricing.tsx
/preisliste;Interne Preisliste;Form Layout;ServiceCatalog, Alert, AlertCircle, AlertTitle, AlertDescription, Card, CardHeader, Badge, CardTitle, CardDescription;2025-10-24;client/src/pages/preisliste.tsx
/register;Konto erstellt;Form Layout;RegisterData, Link, Card, CardHeader, CardTitle, CardDescription, CardContent, Form, FormField, FormItem;2025-10-19;client/src/pages/register.tsx
/review/:jobId/:shootId;{photos.length} {photos.length === 1 ? "Foto" : "Fotos"};Simple;Button, X, Upload, Trash2, Camera;2025-10-23;client/src/pages/capture/review.tsx
/review/:jobId/:shootId;{data.job.propertyName};Simple;Record, ReviewData, Card, CardContent, AlertCircle, Badge, Button, Tabs, TabsList, TabsTrigger;2025-10-20;client/src/pages/review.tsx
/test;Untitled;Simple;;2025-10-23;client/src/pages/test-debug.tsx
/upload-raw;RAW-Dateien hochladen;Form Layout;UploadFile, Shoot, HTMLInputElement, Card, CardHeader, CardTitle, CardDescription, CardContent, Upload, FileImage;2025-10-21;client/src/pages/upload-raw.tsx
